REFERENCE CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE,
001,ธนาคารแห่งประเทศไทย,BANK OF THAILAND,24851210,
002,ธนาคารกรุงเทพ จำกัด (มหาชน),BANGKOK BANK PUBLIC COMPANY LTD.,24871201,
004,ธนาคารกสิกรไทย จำกัด (มหาชน),KASIKORNBANK PUBLIC COMPANY LIMITED,24880608,
006,ธนาคารกรุงไทย จำกัด (มหาชน),KRUNG THAI BANK PUBLIC COMPANY LTD.,25090314,
008,ธนาคารเจพีมอร์แกน เชส,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",24920805,
009,ธนาคารโอเวอร์ซี-ไชนีส แบงกิ้ง คอร์ปอเรชั่น จำกัด,OVER SEA-CHINESE BANKING CORPORATION LIMITED,24520702,
011,ธนาคารทหารไทยธนชาต จำกัด (มหาชน),TMBTHANACHART BANK PUBLIC COMPANY LIMITED,25001108,
014,ธนาคารไทยพาณิชย์ จำกัด (มหาชน),SIAM COMMERCIAL BANK PUBLIC COMPANY LTD.,24490401,
017,ธนาคารซิตี้แบงก์ เอ็น.เอ.,"CITIBANK, N.A.",24660101,
018,ธนาคารซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น,SUMITOMO MITSUI BANKING CORPORATION,24951122,
020,ธนาคารสแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน),STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED,24761011,
022,ธนาคารซีไอเอ็มบี ไทย จำกัด (มหาชน),CIMB THAI BANK PUBLIC COMPANY LIMITED,24920311,
023,ธนาคารอาร์ เอช บี จำกัด,RHB BANK BERHAD,25070228,
024,ธนาคารยูโอบี จำกัด (มหาชน),UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,24821002,
025,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),BANK OF AYUDHYA PUBLIC COMPANY LTD.,24880402,
026,ธนาคารเมกะ สากลพาณิชย์ จำกัด (มหาชน),MEGA  INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED,24901010,
027,ธนาคารแห่งอเมริกา เนชั่นแนล แอสโซซิเอชั่น,"BANK OF AMERICA, NATIONAL ASSOCIATION",24921201,
029,ธนาคารอินเดียน โอเวอร์ซีส์,INDIAN OVERSEA BANK,24901223,
030,ธนาคารออมสิน,GOVERNMENT SAVINGS BANK,24560401,
031,ธนาคารฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,24311202,
032,ธนาคารดอยซ์แบงก์ เอจี สาขากรุงเทพฯ,DEUTSCHE BANK AG. BANGKOK BRANCH,25210703,
033,ธนาคารอาคารสงเคราะห์,THE GOVERNMENT HOUSING BANK,24960924,
034,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES,25091101,
035,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย,EXPORT-IMPORT BANK OF THAILAND,25370217,
039,ธนาคารมิซูโฮ จำกัด สาขากรุงเทพฯ,"MIZUHO BANK, LTD. BANGKOK BRANCH",25450401,
045,ธนาคารบีเอ็นพี พารีบาส์,BNP PARIBAS,25361109,
052,ธนาคารแห่งประเทศจีน (ไทย) จำกัด (มหาชน),BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25370221,
066,ธนาคารอิสลามแห่งประเทศไทย,ISLAMIC BANK OF THAILAND,25460612,
067,ธนาคารทิสโก้ จำกัด (มหาชน),TISCO BANK PUBLIC COMPANY LIMITED,25480701,
069,ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน),KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,25481003,
070,ธนาคารไอซีบีซี (ไทย) จำกัด (มหาชน),INDUSTRIAL AND COMMERCIAL BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED,25481223,
071,ธนาคารไทยเครดิต จำกัด (มหาชน),THE THAI CREDIT BANK PUBLIC COMPANY LIMITED,25500118,
073,ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),LAND AND HOUSES BANK PUBLIC COMPANY LIMITED,25481219,
080,ธนาคารซูมิโตโม มิตซุย ทรัสต์ (ไทย) จำกัด (มหาชน),SUMITOMO MITSUI TRUST BANK (THAI) PUBLIC COMPANY LIMITED,25581028,
093,บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม,THAI CREDIT GUARANTEE CORPORATION,25350221,
098,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,SMALL AND MEDIUM ENTERPRISE DEVELOPMENT BANK OF THAILAND,25350501,
301,บริษัท ไดนามิค เปย์เม้นท์ จำกัด,"DYNAMIC PAYMENT CO., LTD.",25570921,
302,บริษัท ห้างเซ็นทรัล ดีพาทเมนท์สโตร์ จำกัด,HARNG CENTRAL DEPARTMENT STORE LTD.,25570918,
303,บริษัท ช้อปปี้เพย์ (ประเทศไทย) จำกัด,"SHOPEEPAY (THAILAND) CO., LTD.",25571114,
304,บริษัท พระอินทร์ ฟินเทค จำกัด,"PRAIN FINTECH CO., LTD.",25580420,
305,บริษัท เซ็นทรัล เพย์เม้นท์ จำกัด,CENTRAL PAYMENT LIMITED,25611106,
306,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),FORTH SMART SERVICE PUBLIC COMPANY LIMITED,25580715,
307,บริษัท แมคคาเล กรุ๊พ จำกัด (มหาชน),MACKALE GROUP PUBLIC COMPANY LIMITED,25580923,
308,บริษัท สหไพบูลย์ (2558) จำกัด,"SAHAPAIBOON (2558) CO., LTD.",25580720,
309,บริษัท ไอร่า แอนด์ ไอฟุล จำกัด (มหาชน),AIRA & AIFUL PUBLIC COMPANY LIMITED,25580819,
310,บริษัท ดิจิตอล เจน จำกัด,"DIGITAL GEN CO., LTD.",25590421,
311,บริษัท โรบินสัน จำกัด (มหาชน),"ROBINSON PUBLIC CO., LTD.",25580617,
312,บริษัท ไมด้า ลิสซิ่ง จำกัด (มหาชน),MIDA LEASING PUBLIC COMPANY LIMITED,25590208,
313,บริษัท โดเมสติค แคปปิตอล 2015 จำกัด,"DOMESTIC CAPITAL 2015 CO., LTD.",25590104,
314,บริษัท ไอทีทีพี จำกัด,"ITTP CO.,LTD.",25590104,
315,บริษัท ทีเค เงินทันใจ จำกัด,"TK NGERN TAN JAI CO., LTD.",25590128,
316,บริษัท เคบี เจ แคปปิตอล จำกัด,KB J CAPITAL COMPANY LIMITED,25580815,
317,บริษัท บี-52 แคปปิตอล จำกัด (มหาชน),"B-52 CAPITAL PUBLIC CO., LTD.",25581223,
318,บริษัท โอมิเซะ จำกัด,"OMISE CO., LTD.",25580915,
320,บริษัท เซ็นดิท เทค จำกัด,XENDIT TECH COMPANY LIMITED,25600122,
321,บริษัท เอเชียเจมส์ฟอร์ยู จำกัด,"ASIA GEMS FOR YOU CO., LTD.",25590609,
322,บริษัท จี แคปปิตอล จำกัด (มหาชน),G CAPITAL PUBLIC COMPANY LIMITED,25581201,
323,บริษัท เฮลโลเพย์ จำกัด,"HELLOPAY CO., LTD.",25590425,
324,บริษัท ธนทัต โซลูชั่น จำกัด,"TANATAT SOLUTION CO., LTD.",25590930,
325,บริษัท เงินต่อยอด จำกัด,"NGOENTORYOD CO.,LTD.",25590920,
326,บริษัท ปิยะระยองกรุ๊ป จำกัด,"PIYARAYONGGROUP CO.,LTD.",25590301,
327,บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด,"PTT DIGITAL SOLUTIONS CO., LTD.",25581116,
328,บริษัท พสิษฐ์ภาคิณ จำกัด,"PHASITPAKIN CO.,LTD.",25590401,
329,บริษัท เอ.ที.ลีซซิ่ง จำกัด,"A.T. LEASING CO., LTD.",25591223,
330,บริษัท เงินแสนสบาย จำกัด,NGERNSAENSABAI COMPANY LIMITED,25590519,
331,บริษัท วีซ่า อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,VISA INTERNATIONAL (THAILAND) LTD.,25610615,
333,บริษัท ไทย เพย์เมนต์ เน็ตเวิร์ก จำกัด,"THAI PAYMENT NETWORK CO., LTD.",25590406,
334,บริษัท จีพีซีเอ็ม กรุ๊ป จำกัด,"GPCM GROUP CO., LTD.",25590413,
335,บริษัท แอสเซนด์ นาโน จำกัด,"ASCEND NANO CO., LTD.",25610725,
336,บริษัท ซีมันนี่ (แคปปิตอล) จำกัด,"SEAMONEY (CAPITAL) CO., LTD.",25590601,
337,บริษัท พระยาเปย์ จำกัด,"PRAYAPAY CO., LTD.",25590901,
338,บริษัท สบาย เทคโนโลยี จำกัด (มหาชน),"SABUY TECHNOLOGY PUBLIC CO., LTD.",25600424,
339,บริษัท เอ็มโอแอล เพย์เมนท์ จำกัด,"MOL PAYMENT CO., LTD.",25591001,
340,บริษัท ไอเพย์88 (ประเทศไทย) จำกัด,"IPAY88(THAILAND) CO., LTD.",25590629,
341,บริษัท นครหลวง แคปปิตอล จำกัด (มหาชน),NAKHONLUANG CAPITAL PUBLIC COMPANY LIMITED,25610315,
342,บริษัท เอเอเอ็ม แคปปิตอล เซอร์วิส จำกัด,"AAM CAPITAL SERVICE CO., LTD.",25600201,
343,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),"BANGKOK EXPRESSWAY AND METRO PUBLIC CO., LTD.",25590806,
344,บริษัท ทูซีทูพี พลัส (ประเทศไทย) จำกัด,"2C2P PLUS (THAILAND) CO., LTD.",25591201,
345,บริษัท พีซีโฮม (ประเทศไทย) จำกัด,"PCHOME (THAILAND) CO., LTD.",25600803,
346,บริษัท ทรี เพย์ (ประเทศไทย) จำกัด,"TREE PAY (THAILAND) CO., LTD.",25600128,
347,บริษัท เธียรสุรัตน์ ลีสซิ่ง จำกัด,"THIENSURAT LEASING CO., LTD.",25601102,
348,บริษัท สวัสดีช้อป จำกัด,"SAWASDEESHOP CO., LTD.",25601115,
349,บริษัท บลูเพย์ จำกัด,"BLUEPAY CO., LTD.",25600404,
350,บริษัท เอเชีย เวลธ์ พลัส แมเนจเม้นท์ จำกัด,"ASIA WEALTH PLUS MANAGEMENT CO., LTD.",25600613,
352,บริษัท วีซี เวลท์ จำกัด,VC WEALTH COMPANY LIMITED,25610601,
353,บริษัท มันนี่ สเปซ จำกัด,"MONEY SPACE CO., LTD.",25610529,
354,บริษัท โซ สมาร์ท เทค จำกัด,"SO SMART TECH CO.,LTD.",25601010,
355,บริษัท เอ็ม แคปปิตอล คอร์ปอเรชั่น จำกัด,"M CAPITAL CORPORATION CO., LTD.",25610301,
356,บริษัท เงินเทอร์โบ จำกัด (มหาชน),NGERNTURBO PUBLIC COMPANY LIMITED,25620201,
357,บริษัท ควิก ลิสซิ่ง จำกัด,"QUICK LEASING CO., LTD.",25610815,
358,บริษัท เอนี่เพย์ จำกัด,"ANYPAY CO., LTD.",25610731,
359,การทางพิเศษแห่งประเทศไทย,THE EXPRESSWAY AUTHORITY OF THAILAND,25610921,
360,บริษัท เคเชอร์ เพย์เมนท์ จำกัด,"KSHER PAYMENT CO., LTD.",25611106,
362,บริษัท เอส อาร์ ที ฟอเร๊กซ์ จำกัด,SRT FOREX COMPANY LIMITED,25641031,
363,บริษัท เจซีบี อินเตอร์เนชั่นแนล จำกัด,"JCB INTERNATIONAL CO., LTD.",25611009,
364,บริษัท มาสเตอร์การ์ด เอเชีย/แปซิฟิค พีทีอี ลิมิเต็ด,MASTERCARD ASIA/PACIFIC PTE. LTD.,25611009,
365,บริษัท ยูเนี่ยนเพย์ อินเตอร์เนชั่นแนล คอมพานี ลิมิเต็ด,"UNIONPAY INTERNATIONAL CO., LTD.",25611009,
367,บริษัท อ๊อกเพย์ (ไทยแลนด์) จำกัด,"OXPAY (THAILAND) CO., LTD",25620103,
368,บริษัท ออโรร่า ฟิน ซินเนอร์ยี่ จำกัด,,25630701,
369,บริษัท จีเอชแอล (ประเทศไทย) จำกัด,"GHL (THAILAND) CO., LTD.",25621016,
370,บริษัท ชโย แคปปิตอล จำกัด (มหาชน),CHAYO CAPITAL PUBLIC COMPANY LIMITED,25620401,
371,บริษัท ศรีสวัสดิ์ พาวเวอร์ 2014 จำกัด,"SRISAWAD POWER 2014 CO., LTD.",25630219,
372,บริษัท เพย์พาล (ประเทศไทย) จำกัด,PAYPAL (THAILAND) LIMITED,25640307,
373,บริษัท เฮงลิสซิ่ง แอนด์ แคปปิตอล จำกัด (มหาชน),HENG LEASING AND CAPITAL,25620715,
374,บริษัท เซ็นทรัล เจดี มันนี่ จำกัด,"CENTRAL JD MONEY CO., LTD.",25620617,
375,บริษัท จีฟิน เซอร์วิสเซส (ที) จำกัด,"GFIN SERVICES (T) CO., LTD.",25621001,
376,บริษัท ฟิน โกล จำกัด,"FIN GOAL CO.,LTD.",25630401,
377,บริษัท กสิกร ไลน์ จำกัด,KASIKORN LINE COMPANY LIMITED,25630923,
378,บริษัท ลิ้ม สุขใจ จำกัด,"LIM SUKJAI CO., LTD.",25630113,
379,บริษัท เหรียญทองธุรกิจ จำกัด,"RHIANTHONG BUSINESS CO., LTD",25620724,
380,บริษัท เหรียญทองสินทรัพย์ จำกัด,"RHIANTHONG ASSET CO.,LTD",25620724,
381,บริษัท นาโน โอเค ร้อยเอ็ด จำกัด,"NANO OK ROI-ET CO., LTD.",25620910,
382,บริษัท นิ่มลีสซิ่ง จำกัด,NIM LEASING CO.LTD,25620613,
383,บริษัท อัมพวาธุรกิจ จำกัด,"AMPHAWABUSINESS CO.,LTD.",25621001,
384,บริษัท วัน มันนี่ จำกัด,,25620902,
385,บริษัท ไอลิส อินโนเวชั่น จำกัด,"ILEASE INNOVATION CO., LTD.",25630501,
386,บริษัท อบาคัส ดิจิทัล จำกัด,"ABACUS DIGITAL CO., LTD.",25621101,
387,บริษัท พรประเสริฐโมโตลิส จำกัด,"PORNPRASERT MOTOLEASE CO., LTD.",25620802,
452,บริษัทเงินทุน แอ็ดวานซ์ จำกัด (มหาชน),ADVANCE FINANCE PUBLIC COMPANY LIMITED,25170912,
608,บริษัทเครดิตฟองซิเอร์ เอสเบ จำกัด,SBEY CREDIT FONCIER COMPANY LIMITED,25210824,
610,บริษัทเครดิตฟองซิเอร์ เวิลด์ จำกัด,"WORLD CREDIT FONCIER CO., LTD.",25160921,
613,บริษัทเครดิตฟองซิเอร์ แคปปิตอล ลิ้งค์ จำกัด,CAPITAL LINK CREDIT FONCIER LIMITED,25160711,
635,เดอะ ชิกะ แบ๊งค์ ลิมิเต็ด,THE SHIGA BANK LIMITED,25550209,
636,เดอะ โฮคุริคุ แบ๊งค์ ลิมิเต็ด,THE HOKURIKU BANK LIMITED,25550320,
637,เดอะ แบ๊งค์ ออฟ ฟุกุโอกะ ลิมิเต็ด,"THE BANK OF FUKUOKA, LTD.",25550327,
638,เดอะ แบ๊งค์ ออฟ โยโกฮามา ลิมิเต็ด,"THE BANK OF YOKOHAMA, LIMITED",25550424,
639,JAPAN BANK FOR INTERNATIONAL COOPERATION,JAPAN BANK FOR INTERNATIONAL COOPERATION,25550401,
640,เดอะ โชโค ชูคิน แบ๊งค์ ลิมิเต็ด,THE SHOKO SHUKIN BANK LIMITED,25550913,
641,"เดอะ เซี่ยงไฮ้ คอมเมอร์เชียล แอนด์ เซฟวิ่ง แบงค์, แอลทีดี.","THE SHANGHAI COMMERCIAL & SAVINGS BANK, LIMITED",25550928,
642,ชินกิน เซ็นทรัล แบ๊งค์,SHINKIN CENTRAL BANK,25551001,
643,เดอะ ฮยาคุโกะ แบ๊งค์ ลิมิเต็ด,"THE HYAKUGO BANK, LTD",25551119,
645,เดอะ แบ๊งค์ ออฟ เกียวโต ลิมิเต็ด,"THE BANK OF KYOTO, LTD.",25560924,
646,ดิ โอคาซากิ ชินกิน แบ๊งค์,THE OKAZAKI SHINKIN BANK,25561001,
647,เดอะ ซัน - อินโกโด แบ๊ง ลิมิเต็ด,"THE SAN-IN GODO BANK, LIMITED",25561010,
648,นอร์ธ แปซิฟิค แบ๊งค์ ลิมิเต็ด,"NORTH PACIFIC BANK, LTD.",25570109,
649,เดอะ ฮามามัตสึ ชินกิน แบ๊งค์,THE HAMAMATSU SHINKIN BANK,25570121,
650,โคเรีย ดีเวลลอปเมนท์ แบงก์,KOREA DEVELOPMENT BANK,25570515,
651,สเตท สตรีท แบงก์ แอนด์ ทรัสต์ คัมปะนี,STATE STREET BANK AND TRUST COMPANY,25570602,
652,เดอะ เฮคิไค ชินกิน แบ๊งค์,THE HEKIKAISHINKIN BANK,25570702,
653,"เดอะ โฮคุโตะ แบ๊งค์, ลิมิเต็ด","THE HOKUTO BANK, LTD.",25570731,
654,"เดอะ ชิบะ แบ๊งค์, ลิมิเต็ด","THE CHIBA BANK, LIMITED",25570909,
655,"เดอะ ฟุคุอิ แบ๊งค์, ลิมิเต็ด","THE FUKUI BANK, LTD.",25571125,
656,"เดอะ จูโรกุ แบ๊งค์, ลิมิเต็ด","THE JUROKU BANK, LIMITED",25580320,
657,"เดอะชูโกคุ แบ๊งค์, ลิมิเต็ด",THE CHUGOKU BANK LIMITED,25580609,
658,เดอะ กิฟุ ชินกิน แบ๊งค์,THE GIFU SHINKIN BANK,25581211,
659,ดิ เอ็กซ์พอร์ท-อิมพอร์ท แบงค์ ออฟ เดอะ รีพับบลิค ออฟ ไชน่า,THE EXPORT-IMPORT BANK OF THE REPUBLIC OF CHINA,25581221,
660,เดอะ กุนมะ แบงค์ ลิมิเต็ด,"THE GUNMA BANK, LTD.",25590805,
662,ธนาคารร่วมพัฒนา จำกัด,JOINT DEVELOPMENT BANK LIMITED,25600503,
663,เดอะ ชิมิซุ แบ๊งค์ ลิมิเต็ด,"THE SHIMIZU BANK, LTD.",25600703,
664,แบงค์ ออฟ ไต้หวัน,BANK OF TAIWAN,25610111,
665,ดิ อาชิคากะ แบ๊งค์ ลิมิเต็ด,"THE ASHIKAGA BANK, LTD.",25601220,
667,หัวหนาน คอมเมอร์เชียล แบงค์ แอลทีดี,HUA NAN COMMERCIAL BANK LTD.,25640311,
668,ซีเอ็มบี เหว่ง หลง แบงค์ ลิมิเต็ด,CMB WING LUNG BANK LIMITED,25640414,
669,ไท่ชิน อินเตอร์เนชั่นแนล แบงค์ คอมพานี ลิมิเต็ด,"TAISHIN INTERNATIONAL BANK CO.,LTD",25640628,
670,"อี.ซัน คอมเมอร์เชียล แบงค์, แอลทีดี",E.SUN COMMERCIAL BANK,25650705,
671,ออสเตรเลีย แอนด์ นิวซีแลนด์ แบงกิ้ง กรุ๊ป ลิมิเต็ด,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,25660116,
672,คิราโบชิ แบงก์ ลิมิเต็ด,"KIRABOSHI BANK, LTD.",25660712,
701,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน),BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED,25450201,
703,บริษัทบริหารสินทรัพย์ เพทาย จำกัด,"PHETHAI ASSET MANAGEMENT CO.,LTD",25421013,
705,บริษัทบริหารสินทรัพย์ ทวี จำกัด,"SINNSUPTAWEE ASSET MANAGEMENT CO.,LTD",25421230,
706,บริษัทบริหารสินทรัพย์ เอ็น เอฟ เอส จำกัด,"N F S ASSET MANAGEMENT CO.,LTD.",25430322,
708,บริษัทบริหารสินทรัพย์ สุขุมวิท จำกัด,"SUKHUMVIT ASSET MANAGEMENT CO.,LTD.",25430531,
710,บริษัทบริหารสินทรัพย์ แม๊กซ์ จำกัด,"MAX ASSET MANAGEMENT CO.,LTD.",25430825,
714,บริษัทบริหารสินทรัพย์ กรุงศรีอยุธยา จำกัด,"AYUDHYA ASSET MANAGEMENT CO.,LTD",25431109,
717,บริษัทบริหารสินทรัพย์ สาทร จำกัด,"SATHORN ASSET MANAGEMENT CO., LTD.",25480901,
718,บริษัทบริหารสินทรัพย์ โกลบอลวัน จำกัด,"GLOBALONE ASSET MANAGEMENT CO.,LTD.",25490712,
721,บริษัทบริหารสินทรัพย์ แคปปิตอล เอเชีย จำกัด,"CAPITAL ASIA CO., LTD.",25630101,
722,บริษัทบริหารสินทรัพย์ มหานคร จำกัด,MAHANAKORN ASSET MANAGEMENT COMPANY LIMITED,25510328,
723,บริษัทบริหารสินทรัพย์ อัลฟาแคปปิตอล จำกัด,"ALPHA CAPITAL ASSET MANAGEMENT CO.,LTD.",25510320,
724,บริษัทบริหารสินทรัพย์ อินเตอร์ แคปปิตอล อลิอันซ์ จำกัด,"INTER CAPITAL ALLIANCE ASSET MANAGEMENT CO.,LTD.",25510215,
725,บริษัทบริหารสินทรัพย์ ไทยบังคับและติดตามสินทรัพย์ จำกัด,THAI ASSET ENFORCEMENT AND RECOVERY ASSET MANAGEMENT COMPANY LIMITED,25511101,
727,บริษัทบริหารสินทรัพย์ รัชโยธิน จำกัด,"RUTCHAYOTHIN ASSETS MANAGEMENT CO., LTD",25511001,
